Model,Component,RMSE,MAE,R2
Random Forest,Ve,0.026738789078051436,0.007604973996137952,0.48827825805156
Random Forest,Vn,0.010322645308839114,0.004301318831120249,0.8544162461250967
SVR,Ve,0.026801170681289475,0.005770171505545681,0.4858877788398326
SVR,Vn,0.008177297400222206,0.004163452369066994,0.9086411783866254
LSTM,Ve,0.03429205284752363,0.022377125874498232,0.16300639960909113
LSTM,Vn,0.024887901049801542,0.01875724992059029,0.15519722935960512
