longitude,latitude,Ve_est_myr,Vn_est_myr,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
123.24772185,5.6882095,0.03323784,0.0082108,71.8395509,-10.5481675,-7.04009989,61.2913834,41.791112,73.28922789,72.4368037,-11.14542031,94.84912469,Moderate
123.29970777,5.6882095,0.03365558,0.00843839,74.11053579,-10.39549648,-6.40843347,63.71503931,42.73623044,75.38284885,74.59375009,-10.87871078,94.31210651,Moderate
123.3516937,5.6882095,0.03408646,0.00867177,76.42111516,-10.21146122,-5.69899113,66.20965393,43.68957911,77.52043461,76.79440607,-10.58475214,93.74759045,Moderate
123.40367963,5.6882095,0.03453065,0.00891093,78.75213172,-9.98924508,-4.89789666,68.76288665,44.64019916,79.68476675,79.02164248,-10.25875583,93.14957075,Moderate
123.45566555,5.6882095,0.03498822,0.00915587,81.07641728,-9.72078995,-3.98946671,71.35562733,45.57355653,81.85176165,81.25137019,-9.89574286,92.51102362,High
123.50765148,5.6882095,0.03545904,0.00940653,83.3564225,-9.39659778,-2.95599357,73.95982473,46.47062073,83.98848146,83.45053309,-9.49070836,91.8235218,High
123.55963741,5.6882095,0.03594271,0.00966282,85.54111581,-9.00549347,-1.77751731,76.53562233,47.30671093,86.05056968,85.5745221,-9.03889976,91.07667831,High
123.61162334,5.6882095,0.03643854,0.00992458,87.5619005,-8.53434488,-0.43160376,79.02755561,48.05006114,87.9789408,87.56383895,-8.53628334,90.2573296,High
123.66360926,5.6882095,0.03694536,0.01019155,89.32721039,-7.9677382,1.10683906,81.35947219,48.6600642,89.69551579,89.3398003,-7.98032811,89.34830875,High
123.71559519,5.6882095,0.0374614,0.01046334,90.71532694,-7.28761337,2.86564631,83.42771358,49.08519131,91.09777005,90.7990481,-7.37133452,88.32655382,High
123.76758112,5.6882095,0.03798411,0.01073941,91.5648152,-6.47287784,4.87527591,85.09193736,49.26069051,92.05188842,91.80665919,-6.71472183,87.16010113,High
123.81956705,5.6882095,0.03850988,0.01101897,91.66181179,-5.49904462,7.16829285,86.16276717,49.10643977,92.38450128,92.18782335,-6.02505619,85.80313994,High
123.87155297,5.6882095,0.0390337,0.01130096,90.72325763,-4.33799339,9.77812956,86.38526423,48.52599488,91.87356147,91.718627,-5.33336276,84.18757032,High
123.9235389,5.6882095,0.03954872,0.0115839,88.37516312,-2.95805304,12.73656095,85.41711008,47.409483,90.24056462,90.11803804,-4.70092796,82.20802302,High
123.97552483,5.6882095,0.04004565,0.01186579,84.12538824,-1.32478397,16.06895375,82.80060427,45.64695233,87.15078054,87.04725447,-4.2466502,79.69433112,High
124.02751075,5.6882095,0.04051201,0.01214395,77.33177234,0.59684881,19.78576507,77.92862115,43.16872272,82.24057539,82.1330333,-4.20441215,76.3601186,High
124.07949668,5.6882095,0.04093116,0.01241481,67.16981113,2.83771678,23.86794685,70.00752791,40.05413184,75.22761419,75.0578958,-5.05036788,71.71186753,Moderate
124.13148261,5.6882095,0.04128115,0.01267363,52.61111907,5.41528238,28.24302025,58.02640145,36.80393923,66.27662875,65.81713996,-7.79073851,64.93990089,Moderate
124.18346854,5.6882095,0.04153359,0.01291432,32.436408,8.3172857,32.7483321,40.7536937,34.89822732,57.15071579,55.27507417,-14.52138047,55.10810547,Moderate
124.23545446,5.6882095,0.04165257,0.01312914,5.32409027,11.47602324,37.08042899,16.80011351,37.20779198,53.94405875,45.60784873,-28.80773522,42.62897427,Moderate
124.28744039,5.6882095,0.04159455,0.01330871,-29.93103964,14.73421948,40.73871147,-15.19682017,46.45846484,66.57514237,38.86005475,-54.05687492,30.63440295,Moderate
124.33942632,5.6882095,0.04130984,0.01344232,-74.0301442,17.81312461,42.99234741,-56.21701959,62.90579022,97.43948651,34.79728042,-91.01430001,21.5565314,High
124.39141225,5.6882095,0.04074686,0.01351886,-126.65503862,20.30942678,42.92807103,-106.34561185,85.10263101,141.9140944,31.92982508,-138.27543693,15.14666377,High
124.44339817,5.6882095,0.03985956,0.01352834,-186.01541729,21.75698785,39.64254478,-164.25842944,111.19296039,195.49466669,29.06374567,-193.32217511,10.44332365,High
124.4953841,5.6882095,0.03861685,0.01346399,-248.7692678,21.76450185,32.57192579,-227.00476595,139.13324721,253.93247694,25.63086424,-252.63563019,6.76946474,Very High
124.54737003,5.6882095,0.03701098,0.01332396,-310.5400311,20.17284771,21.80348501,-290.36718339,166.7877214,312.71846542,21.60412971,-311.9713131,3.75577239,Very High
124.59935595,5.6882095,0.03506096,0.01311212,-366.90654262,17.12679272,8.13675295,-349.77974989,192.18898879,367.48626035,17.29911384,-367.07886374,1.21323545,Very High
124.65134188,5.6882095,0.03280965,0.01283739,-414.39262671,13.00472401,-7.18644621,-401.3879027,213.81947727,414.72118579,13.12552592,-414.51342862,179.0369666,Very High
124.70332781,5.6882095,0.03031588,0.012512,-450.98273441,8.26251918,-22.90111096,-442.72021523,230.76180711,452.2196565,9.40169949,-452.12191472,177.15225743,Very High
124.75531374,5.6882095,0.02764558,0.01214963,-476.0406993,3.29767326,-38.02601713,-472.74302604,242.66704933,479.07992861,6.29553631,-479.03856235,175.49228718,Very High
124.80729966,5.6882095,0.02486489,0.01176387,-489.86253322,-1.60861629,-51.94785203,-491.4711495,249.59277069,495.34336349,3.85719594,-495.32834544,173.99359328,Very High
124.85928559,5.6882095,0.02203632,0.0113674,-493.19031981,-6.28128136,-64.33973507,-499.47160117,251.81283613,500.0,2.07703555,-500.0,172.59820971,Very High
124.91127152,5.6882095,0.01921752,0.01097168,-486.90075499,-10.60914743,-75.02057821,-497.50990242,249.68282082,498.43863567,0.92786961,-498.43777203,171.25727746,Very High
124.96325745,5.6882095,0.01646098,0.01058696,-471.92948276,-14.49999292,-83.83165637,-486.42947568,243.59429623,486.80918203,0.37955839,-486.80903406,169.9352068,Very High
125.01524337,5.6882095,0.01381361,0.0102222,-449.38499829,-17.85102602,-90.57273737,-467.23602432,234.00601073,467.62418386,0.38799858,-467.62402289,168.61437268,Very High
125.0672293,5.6882095,0.01131521,0.00988493,-420.73403432,-20.54711899,-95.02279848,-441.28115331,221.51009917,442.15153081,0.86952251,-442.15067582,167.29866356,Very High
125.11921523,5.6882095,0.00899591,0.00958084,-387.89713828,-22.49083675,-97.04444788,-410.38797503,206.87693483,412.07435901,1.68294731,-412.07092234,166.01229297,Very High
125.17120115,5.6882095,0.00687352,0.00931338,-353.12234788,-23.64907132,-96.7167211,-376.7714192,191.02953733,379.42445813,2.64382773,-379.41524693,164.79142303,Very High
125.22318708,5.6882095,0.00495242,0.00908364,-318.63852167,-24.08261623,-94.39672362,-342.7211379,174.93294941,346.31194429,3.57238046,-346.29351836,163.67122847,Very High
