Model,Component,RMSE,MAE,R2
Random Forest,Ve,0.026738789078051436,0.007604973996137952,0.48827825805156
Random Forest,Vn,0.010322645308839114,0.004301318831120249,0.8544162461250967
SVR,Ve,0.026801170681289475,0.005770171505545681,0.4858877788398326
SVR,Vn,0.008177297400222206,0.004163452369066994,0.9086411783866254
LSTM,Ve,0.03978052464601354,0.027591585786529167,-0.12635730955473856
LSTM,Vn,0.05136907569610309,0.04387487638932691,-2.5990036690794565
