point_id,site,location,longitude,latitude,Ve_kriging_mm,Vn_kriging_mm,V_horiz_mm,interp_method,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az,strain_class
30,,,123.04513952,9.2620929,-12.91854967,12.4583729,17.94714409,Ordinary Kriging,-294.68864905,45.09585055,42.33810041,-249.5927985,175.08823858,304.07246687,50.29183933,-299.88463783,6.99669861,Very High
31,,,125.85295841,9.1423241,-44.02921522,25.01244483,50.63787308,Ordinary Kriging,52.71945389,85.41408745,-93.26087734,138.13354134,94.6827651,165.74103185,163.74953577,-25.61599443,139.97106941,High
32,,,123.93563429,8.23138664,-11.06407148,7.34437549,13.2798166,Ordinary Kriging,42.05837027,15.53041449,85.75514004,57.58878476,86.77486476,129.2980602,115.56925713,-57.98047238,49.39620919,High
33,,,122.65524911,9.64875183,-14.82507149,13.64440701,20.14826512,Ordinary Kriging,-35.11022771,47.39067535,-41.39668632,12.28044765,58.4404431,83.10219898,64.58066692,-52.30021927,157.44931084,High
34,,,124.2281689,7.58777605,-14.31050741,3.61538764,14.76013719,Ordinary Kriging,152.06623064,-33.94470272,13.89021159,118.12152792,94.0369864,157.04221502,153.09775035,-34.97622244,85.75287696,High
35,,,126.12300993,6.90813335,-28.73550589,7.18372363,29.61984443,Ordinary Kriging,19.72343437,-9.58200265,-4.69528152,10.14143172,15.38661198,22.91113213,20.45732784,-10.31589612,98.88370544,Moderate
36,,,125.16788858,6.58818854,-15.29414268,5.07610053,16.1145151,Ordinary Kriging,91.15332023,51.21454534,-44.65818545,142.36786557,48.91962758,122.14976258,120.10356037,22.26430521,122.95384048,High
37,,,122.74364946,9.62006803,-15.09481189,13.73364768,20.40750903,Ordinary Kriging,-302.00015075,-30.60950365,108.03424531,-332.6096544,173.44918274,339.82911748,7.14435554,-339.75400994,19.26257847,Very High
38,,,125.08842034,6.29366191,-6.07126184,6.77218029,9.09519908,Ordinary Kriging,-500.0,-30.85462547,-93.70091719,-500.0,342.9274978,500.0,-17.80499426,-500.0,172.0714729,Very High
39,,,125.50736661,8.04192151,-26.15185691,10.37818238,28.13585416,Ordinary Kriging,-75.21780799,-59.75458416,118.9988049,-134.97239215,119.24971024,193.77760475,51.76351416,-186.73590631,43.14129661,High
40,,,124.44008531,6.55156163,9.1151265,7.41662826,11.75125124,Ordinary Kriging,106.26247989,-66.24894749,-227.72472957,40.0135324,243.5130399,345.53978439,263.5198061,-223.50627371,124.62736181,Very High
41,,,124.1933542,7.94923158,-13.3064204,5.67163205,14.46472377,Ordinary Kriging,4.15273423,39.48713414,-78.26038744,43.63986837,80.22978373,117.58339785,102.04971791,-58.40984954,141.36061032,High
42,,,125.78647708,8.30724159,-30.71137232,14.87999012,34.1262728,Ordinary Kriging,-17.08599247,-342.16194582,134.89850744,-359.24793828,211.22547472,392.1249073,31.60150558,-390.84944386,70.1544997,Very High
43,,,125.10229983,6.55975477,-12.98726105,5.31187292,14.03156953,Ordinary Kriging,-115.5547905,164.99962995,-9.50294151,49.44483945,140.59872548,201.88709539,165.3211452,-115.87630575,178.06223759,Very High
44,,,125.63009559,9.01177873,-40.05426849,22.77026136,46.07417092,Ordinary Kriging,-13.62096171,-239.17323194,219.38820029,-252.79419365,246.6771961,391.98434959,120.28009928,-373.07429292,58.60267686,Very High
45,,,122.6272552,7.74513982,3.46101393,4.30106755,5.5206702,Ordinary Kriging,-29.322026,-68.65439639,73.55038401,-97.9764224,76.13420931,128.03329773,27.14599812,-125.12242051,52.48488704,High
46,,,126.15289857,6.45205638,-23.30187737,7.45588746,24.46564421,Ordinary Kriging,-158.74978641,-28.20494759,46.19109825,-186.954734,79.96315585,173.9662291,-13.51421115,-173.44052285,17.64288001,High
47,,,126.42228465,8.04446876,-31.93364726,15.65150316,35.56300576,Ordinary Kriging,5.29836863,-91.35906966,24.46381907,-86.06070103,54.16773521,97.83409021,11.13738469,-97.19808573,76.57581781,High
48,,,122.42386739,7.86893637,3.17836797,4.57388381,5.56977881,Ordinary Kriging,92.23961946,-61.83808303,79.2274402,30.40153644,110.50779105,157.75319481,125.70855926,-95.30702283,67.09879795,High
49,,,123.4649848,10.23209657,-27.99696807,19.81480789,34.29951651,Ordinary Kriging,40.11488935,-43.69141844,41.91161316,-3.57652909,59.26599045,83.85291306,57.47772591,-61.054255,67.49710862,High
50,,,122.86588189,7.57639239,3.81652013,4.05128622,5.56585537,Ordinary Kriging,346.00744241,-18.83392734,16.7793311,327.17351507,183.19075365,347.33119487,346.77751119,-19.60399611,87.37231762,Very High
51,,,124.18725865,8.30098067,-13.83562254,8.26115053,16.11431225,Ordinary Kriging,54.59651706,-24.27457079,-86.00408728,30.32194627,94.61429677,135.51177263,109.77526991,-79.45332363,122.68353724,High
52,,,124.45421418,7.1408812,-15.15033478,2.77973263,15.40323205,Ordinary Kriging,-174.17091059,46.53801901,71.50096853,-127.63289158,131.49333216,206.70285511,67.67688637,-195.30977794,16.47002356,Very High
53,,,124.21386014,7.07538669,-10.09448725,2.96839208,10.52188312,Ordinary Kriging,131.24869765,56.36183409,-5.01279774,187.61053174,37.77748965,143.01445122,131.58275552,56.02777622,93.81261098,High
54,,,124.6793622,6.59913803,-2.85041253,5.84267292,6.50089828,Ordinary Kriging,-500.0,108.12792927,250.07982067,-500.0,485.77464017,500.0,177.44478727,-500.0,15.49225266,Very High
55,,,123.19627599,8.28690368,-3.52401182,6.77554098,7.63718632,Ordinary Kriging,-64.2799472,14.47384816,36.16747509,-49.80609904,53.46612316,83.41208786,28.56307364,-78.36917268,21.28365621,High
56,,,124.40639177,7.48405326,-16.61130031,3.19883072,16.91649538,Ordinary Kriging,39.74640218,-135.3010049,-50.477926,-95.55460272,101.03672449,158.05752257,53.25942313,-148.81402585,104.98676282,High
57,,,124.6574622,6.94767061,-14.20489286,3.48371158,14.62584109,Ordinary Kriging,290.73820113,31.38365906,67.23531795,322.12186019,146.07115596,307.49766115,307.13208605,14.98977414,76.29703904,Very High
58,,,126.10560009,8.17943245,-31.39745188,15.30016397,34.92699532,Ordinary Kriging,-202.83217614,-89.93332024,148.6786233,-292.76549638,159.03418168,305.67885079,12.65143349,-305.41692987,34.60476275,Very High
