,Random Forest,SVR,LSTM
train score (%),99.63323066644433,99.95939474613638,
test score (%),67.13472520883283,69.7264478613229,12.284758879972957
avg train RMSE (mm/year),5.923361262839662,1.8397899538231581,
avg test RMSE (mm/year),18.530717193445277,17.489234040755843,29.61867396124068
