site,longitude,latitude,epsilon_xx,epsilon_yy,epsilon_xy,dilatation,max_shear,second_inv,lambda1,lambda2,principal_az
,125.7985275,8.92023413,3.5487523931920073,-29.9875625958966,96.68089128015652,-92.2279133160114,162.7889550451897,233.81547160726566,111.34151407778215,-189.8230265825359,88.01763381784275
,125.32368178,7.52179755,3.2453705765229044,-2.3140002537495,-12.822944223530993,56.93503653227711,127.9723409746698,207.91286956642878,170.3554421270146,-146.49594576194275,88.01763381784275
,124.43842568,6.38336022,4.047082193042325,-10.748097279631342,5.404774934591129,119.91133758428643,185.9433454627492,281.5979753884816,308.21670855503874,-173.54855881490457,88.01763381784275
,123.89367022,10.25057509,3.879634091317766,-4.607554913033131,-42.17641596078644,44.47248516762613,138.3455483071501,204.17507942138525,142.30503702728345,-160.4270321396142,88.01763381784275
,125.23490351,6.36576906,5.198861995642474,-4.050796040806524,-75.32025654845867,97.81539203457838,183.32196513052256,252.81339727940832,200.17040649893153,-169.67619311344436,88.01763381784275
,125.61752537,8.62599029,4.0510005454081,0.12039135514890642,62.827782976197106,-74.84544373654676,155.9369245143319,230.0295352841147,109.78897981890445,-185.04118969409691,88.01763381784275
,123.29685018,8.34533181,3.3712216732470646,-7.190513143115786,3.909119662267336,-73.72742715303282,121.09769122655656,194.8619481854737,91.52508927457117,-132.02321456276212,88.01763381784275
,123.7103419,10.43479802,3.879634091317766,-7.177539623654827,-27.82090049655267,31.711423778072348,137.95658433355453,201.43143377335662,128.21560697681704,-161.0895434399331,88.01763381784275
,126.16260482,7.83581657,3.816831013931972,-22.093530131511766,21.30625868709038,-31.01960405426343,102.84694019231779,181.39150748325474,69.69946457566938,-149.06591358108355,88.01763381784275
,122.93667318,10.44192999,4.1440213378465796,-22.92734312111326,83.46831124974774,-74.5569099215653,150.52118167095207,199.63772300722604,67.53621961340326,-170.6638344327755,88.01763381784275
,125.98953902,7.18947368,3.8528661306307237,-15.470459098858585,-1.1037520167749915,18.799466001434944,93.89197795743345,169.7610908787809,55.58220591386418,-132.90401956975097,88.01763381784275
,122.23943086,7.31596161,5.353519145827025,-11.72594235242482,1.578156346165997,49.34568987676795,93.84215362164359,175.08395558068008,107.74140687855525,-89.3728168530567,88.01763381784275
,124.52619541,7.44118525,3.4271936877666187,-22.523664690693845,13.932633397617202,-28.553356552042068,121.47792392915261,215.82180256971293,64.88105230627593,-145.64289108339156,88.01763381784275
,125.74299292,8.3255322,3.898435523238374,-25.381474302684744,77.6935146355238,-145.1079113584772,147.57651588300718,223.6355529080496,75.68562684090759,-179.94860404413578,88.01763381784275
,124.93525358,8.3948943,5.934270731295399,-38.85888214995937,109.06667971566989,-70.8619808237094,145.8475266093612,220.15754964133004,103.46131831498279,-171.3583169629781,88.01763381784275
,126.29109905,7.39543505,3.865631279634327,-10.84529088679466,-6.404783233513406,9.891499345664831,89.39861292517236,163.15239160903315,63.04601667242294,-134.16338454538482,88.01763381784275
,122.74458013,7.5287489,4.275022450029383,-16.95105472962573,-2.7155799882447313,152.28521307430523,121.63216052154193,206.93208391269206,212.67467278235918,-99.66903868569787,88.01763381784275
,122.8202813,9.95731346,4.3233518780720335,-29.627352691989426,86.30564761203226,-105.93357944921698,147.61411852071114,201.87322902449435,68.61428255704982,-170.31695664346518,88.01763381784275
,125.10388239,8.02274364,2.567041269924649,-37.20196274387535,108.23651431921188,-111.46024422734736,145.2318625311117,221.12799630748427,99.3932832819802,-168.06760643557197,88.01763381784275
,125.11874395,7.49290175,3.0490222141952557,4.500530765070451,-38.201453467438895,84.25292050622132,132.98571565876884,214.79417210802814,193.2820902957619,-146.73745405533552,88.01763381784275
,125.31718633,7.18924397,3.2943713447242513,4.558044948837751,-21.610058226925013,57.60901198495363,126.89032545510486,208.19761123314152,111.28008876547875,-146.33786356629713,88.01763381784275
,123.3623316,8.09086315,3.9989217653292615,-9.366037770735115,-41.03239339538793,13.15587951154821,122.17897185558094,198.82099836837347,136.0325488082998,-124.31443607087729,88.01763381784275
,124.90775208,6.16813264,3.977306815145197,-21.930749536981775,-97.3005999839615,33.870760446672975,199.77358929607007,274.85824691059673,296.0511350345388,-180.0478134647573,88.01763381784275
,122.64839376,9.91996723,3.787050143076608,-25.6537756595354,81.2101517930246,-139.99509074792047,144.6735214746213,202.62331580326466,55.93847291293099,-169.3782855921517,88.01763381784275
,123.825813,7.81862281,3.878305350390162,-14.733052495005964,-31.49884725412527,0.34934454132172454,122.31501692863358,207.19084706038123,103.5306833910631,-130.9148546333348,88.01763381784275
,122.89693107,10.3188907,4.258569253896515,-25.706926655460446,88.55982748639578,-82.26000588683767,150.99341264458337,199.82484180620796,66.04408637879841,-171.0708403055451,88.01763381784275
,125.70282108,8.99990123,3.642644299974112,-32.93857436579425,99.91907365526095,-99.84468635026928,164.08998856303828,236.61796845664907,116.83488590105934,-189.52078560541568,88.01763381784275
,125.02904893,7.43819845,3.206297745565564,0.2938171059375454,-40.049580576612726,96.11950878295285,134.38511041767063,217.4529914132587,198.45316777249707,-147.02103218242266,88.01763381784275
,124.06274308,6.96945601,3.6944512761364585,-15.005201487270433,-61.13546089420905,56.89077003152572,169.13336069699838,270.58682641557675,233.9955135041733,-150.97023868829967,88.01763381784275
,123.04513952,9.2620929,3.879616701532985,-0.1627363311066285,44.98508985769178,-185.51443741548053,137.15949688883256,204.84659425437616,54.11355872376546,-160.73697526711933,88.01763381784275
,125.85295841,9.1423241,3.7312299996289298,-15.484935844471016,33.19589295645589,-40.12063528396869,154.0724544279634,233.43948636987255,132.02450496125752,-183.8450237840405,88.01763381784275
,123.93563429,8.23138664,3.9659419943422582,-2.901003661471967,-33.79343339172786,9.072171402800748,122.0973153084089,194.64501342882298,129.61571446076275,-135.52784094049886,88.01763381784275
,122.65524911,9.64875183,3.1553577801856827,-5.5841432994075575,42.601633082924636,-131.48019232121794,136.23778538961463,201.38598250375068,58.01883314798959,-164.48584081921229,88.01763381784275
,124.2281689,7.58777605,4.464872402545236,-20.756822336555096,-10.432226348289685,0.49548869593329187,119.12488575291896,210.7838648542808,95.43553753111809,-138.33282489786367,88.01763381784275
,126.12300993,6.90813335,3.949741964423511,-12.418449716851065,0.5761429017097119,14.212723196344362,103.4908037642255,174.4268173482584,63.84110941317907,-135.48833023610106,88.01763381784275
,125.16788858,6.58818854,5.055623345775332,9.565904493641158,-28.405701110946236,95.11307393919037,164.2144252664653,240.1930828241718,139.9117158635977,-165.90637047888026,88.01763381784275
,122.74364946,9.62006803,3.3211871419896988,-7.963464002685621,46.050661766333164,-152.24915860198175,136.81853935794697,202.92443982499682,52.29797255452896,-164.4982509399288,88.01763381784275
,125.08842034,6.29366191,4.555882645760377,-11.852634429886132,-78.86750142547713,66.93191627844904,194.39139354583884,262.46145488282383,195.25154556393124,-176.71540225304545,88.01763381784275
,125.50736661,8.04192151,3.7316359767649994,-18.643001179381436,85.1164238869736,-86.3014687981502,137.27231496732938,212.5357156058895,92.56611467554167,-166.9554198574559,88.01763381784275
,124.44008531,6.55156163,4.13977176837469,-11.669856290527898,9.346295456297119,99.31871505414303,184.35326931599602,279.3741194748135,277.288967162673,-173.58220797675332,88.01763381784275
,124.1933542,7.94923158,3.8850617160361347,-4.820280896844672,-29.659257274602414,13.26801791867982,115.22807414416812,197.15405126273268,100.21119160080455,-138.05111873312447,88.01763381784275
,125.78647708,8.30724159,3.931664764265199,-25.890865464660028,67.7055524738943,-145.68798996614183,145.09667421152972,222.35592230650133,75.82674956626295,-179.17269002551998,88.01763381784275
,125.10229983,6.55975477,4.728371257679685,9.969969190305319,-25.420304090674147,84.07349736419498,172.57532805477254,247.52253271495476,153.65065383618153,-170.27919393587896,88.01763381784275
,125.63009559,9.01177873,3.9324724584327635,-33.415031910800806,101.29160993672627,-101.7690018159781,164.41998651237233,237.30305698431985,117.13565775295253,-189.12320355305428,88.01763381784275
,122.6272552,7.74513982,4.0016735429412655,-26.053397890110002,18.185388098471776,71.7178193167703,113.1281743607721,197.05977408368162,140.26330594875114,-103.01907266294633,88.01763381784275
,126.15289857,6.45205638,3.6370254018319796,-15.294037154387162,-7.73197767696362,-31.55678437406266,134.2288060316074,196.8760111478891,94.09559661972493,-145.6085279362433,88.01763381784275
,126.42228465,8.04446876,3.8688343314257176,-30.28034631008414,16.649513124998517,-69.7565678601652,103.94025283547137,183.45559691409835,62.5899056800748,-155.11952897789232,88.01763381784275
,122.42386739,7.86893637,4.210633874486983,-25.723027626956203,39.61041949709736,-2.879912797509587,101.56035293251335,182.73500583179523,84.57340139382356,-104.17521692639194,88.01763381784275
,123.4649848,10.23209657,3.879634091317766,-15.899395796753018,15.090565301924297,-7.342484695958978,140.18745053827703,198.64775250027614,96.53564881898463,-163.97161754140285,88.01763381784275
,122.86588189,7.57639239,5.108076851294931,-14.50105770790739,-22.291012103731447,192.06347346161957,131.2912019880611,217.82883266575473,258.19034577301136,-103.10565516050939,88.01763381784275
,124.18725865,8.30098067,3.8812827712158198,-12.939313700973841,-31.78182528334098,14.80352822864657,119.31556171566268,194.88888663298,110.0819742223567,-142.48678212368722,88.01763381784275
,124.45421418,7.1408812,2.483816621315082,10.718978593392661,41.35817422760562,-7.825805855056597,142.38196770372664,241.1735586166463,109.0931117542831,-154.8922688781649,88.01763381784275
,124.21386014,7.07538669,5.711446024066839,4.284191172048171,-2.037422799793292,22.420437929247342,150.13635748884303,253.17693718639106,145.2148531321552,-151.6652829384804,88.01763381784275
,124.6793622,6.59913803,3.9355465173700326,6.448791898867879,67.19845581517359,98.76688161503644,181.12575635734163,268.69555869986345,226.69700681686075,-178.97833455617538,88.01763381784275
,123.19627599,8.28690368,2.704006322727081,-7.952070766786671,9.810658192514214,-54.461780162238746,116.50983983964656,194.16822021814326,78.10843265073768,-128.02953822657983,88.01763381784275
,124.40639177,7.48405326,4.189411671835484,-29.966803898822047,0.9264540546142837,-27.35222767346817,120.026997258507,214.0384868241664,71.78693191632547,-143.03474815918486,88.01763381784275
,124.6574622,6.94767061,4.590048399739788,18.468480279407313,76.37926475368094,76.67170239904083,158.8826026323719,253.4423196410022,186.18584244136738,-163.8231964143062,88.01763381784275
,126.10560009,8.17943245,3.9214835635007668,-33.48629170998084,42.37680640232171,-112.51879504008406,119.73227998314776,200.09480611747134,64.87808662126756,-164.8584969850987,88.01763381784275
,123.01140193,8.37200599,2.2662544271338527,-22.022381904740858,43.76221469930535,-108.93097545499744,115.00252242396813,193.87431265609203,46.94363192217994,-131.3159264861475,88.01763381784275
,123.12162823,7.31913159,3.3736209991015693,-10.625520960005762,-78.98202955657574,133.10269640975977,141.99525629785353,231.84595996021952,220.33295391112503,-111.3991339068403,88.01763381784275
,123.60803666,8.32799771,5.677089390505453,9.766326842865428,-68.05244426932877,-38.55746183087555,133.04278212949123,196.16831871685875,200.167673382757,-134.82186428639838,88.01763381784275
,125.40141442,8.80355356,3.707178228485123,-26.62026471610978,97.24340620703364,-111.40138589730755,157.55951433995236,232.1984607262439,82.62267520545858,-185.7887481143661,88.01763381784275
,125.07571198,8.79765143,3.5575395127120695,-25.74159875895934,90.52799857041865,-104.07773765688327,149.89088738329787,225.1802262407131,68.76816985201364,-178.12222640533517,88.01763381784275
,125.92215767,8.03759547,4.0425274321088995,-27.537818224237647,38.81627955860992,-63.37506361367826,122.1381297391476,200.67907629810676,88.77122822533362,-161.40974060346431,88.01763381784275
,123.86665214,7.38322154,2.8890344548645137,1.5716540704280337,-38.2740525509929,-66.02186026631448,141.3445840596554,237.88618471598727,96.00545670426808,-138.34681618923352,88.01763381784275
,124.54591631,6.83455338,4.382033281671118,18.195003645648494,95.59394651790028,77.31749613310694,169.75329355639025,263.7303548493228,211.51926686725758,-169.50253388745404,88.01763381784275
,124.60807548,6.36733998,3.895788434255458,-17.844232144300513,1.9639309244983985,91.76067876012152,190.03566114368755,278.1898623798454,331.6625901154436,-179.48680198695658,88.01763381784275
,124.86369916,7.61086357,3.2228220457638326,-0.374874355695822,-5.886462983023825,24.137746759582647,125.7461282144493,210.93308752094194,125.94974552759405,-147.6983544516224,88.01763381784275
,123.45136582,7.76029539,3.899263557373379,-12.199188844745766,-75.20203170287542,78.19345246921274,132.62302742739698,216.88695358401924,187.1018417643787,-120.62713593895316,88.01763381784275
,125.41587853,8.98972816,6.148255566429461,-32.13860799412356,75.80762374266165,-68.89138616470682,158.46739356856241,233.48541159533477,114.50459883569616,-184.17489260718403,88.01763381784275
,122.96800427,8.18531113,2.8683954753313508,-1.8006271126815554,5.673369166161428,-15.056395260061704,113.00557912379057,194.1291216548735,95.30941650615998,-122.12088801647826,88.01763381784275
,124.48844953,8.17478974,3.8824047076805313,-24.734669423371383,18.717159636066114,-6.75227191331766,120.74204366996261,200.10878624945195,94.2015394535694,-149.09318295108002,88.01763381784275
,125.37839835,7.39670585,2.7258447992378185,8.05434042620935,-16.69663606109283,32.757130150333154,122.12245608064035,202.86911979103175,115.4040389819125,-143.77613189010557,88.01763381784275
,123.16342352,7.09499283,3.809998570581718,-11.712203437647002,-106.37191557285647,169.8880525211797,153.4896217495119,243.24556502499837,292.66163319674354,-113.4389440498666,88.01763381784275
,124.4896728,7.79447956,4.0666168605018935,-25.666538264726668,10.397614379012591,-5.360229592872085,116.49318633335147,202.57500592908644,88.5594424688638,-143.6132199212214,88.01763381784275
,125.14676358,8.21317315,2.030422780458505,-45.77353910148298,164.7315149076117,-175.83368719438167,159.0655753531858,230.81232468688003,91.78060074110222,-179.39875592163492,88.01763381784275
,124.93913356,6.76293607,2.1703461682919905,-1.0984604810078564,11.75412447481513,78.45562494190115,167.84550288626568,246.75626715645703,99.73810120431605,-173.25056804776085,88.01763381784275
,125.30087465,7.42032859,2.480267783031994,7.545918721714307,-19.580917150585435,45.40682752562709,125.58911336741268,206.44249486351853,140.1014897678661,-144.7906854449074,88.01763381784275
,123.75457359,7.23039903,3.4144252947178355,-5.072565318483534,-62.08611608912173,-33.74453895333335,151.9084308805311,249.340885914374,139.4028978815459,-136.84155841587244,88.01763381784275
,124.09208705,6.76975566,1.6305914495030138,-20.052646029068743,-45.929311904105816,15.711558590054702,176.96744810153535,279.24795863288324,211.74086347606053,-158.61159826011115,88.01763381784275
,122.55337031,7.28339595,3.9324817854578162,-4.648017616084913,-18.803482792133302,103.15492687813591,110.21222178276426,194.61026579705924,151.3660738964786,-94.20483213222514,88.01763381784275
,125.43469605,9.3396548,3.574988820297172,-0.17080215664588339,-4.115631474930558,26.66939499360938,155.63089427091114,234.41871603538078,162.3524504615248,-176.73162228109294,88.01763381784275
,122.88583338,7.61951776,5.282012208199333,-15.297383058292596,-17.36835367946726,189.02024247295773,130.26675935815612,216.38680402911754,256.05758707750704,-103.63780726742804,88.01763381784275
,123.11037527,7.71455968,4.1082240132195516,-8.058419977212585,-56.27343121897893,152.23303983236568,131.56909309691227,216.5329916807086,233.9858256087561,-111.61700789178558,88.01763381784275
,124.71701366,7.00882858,4.562636060368222,13.63764062680293,59.06964101091614,81.44542353014945,152.73694649011344,246.3717716581429,173.12499761871973,-160.7460119602203,88.01763381784275
,123.65638904,6.62900791,4.14523821507305,-13.622158087667472,-114.78313294614948,177.5029063654611,182.32689113530606,280.64984040191854,346.44241612975367,-139.86445507212284,88.01763381784275
,125.19006471,7.54169367,3.3387629619433334,0.09576604701277822,-31.379883458204223,86.33175639720426,133.3292286154832,213.8475150416328,209.27084334124518,-147.24766760330033,88.01763381784275
,123.73687326,6.87721592,5.090787084726426,-14.69580992172937,-110.10869966733232,133.34271873684224,176.08135938082947,275.03769253672186,305.4297471058562,-139.94702499841884,88.01763381784275
,125.75943658,8.17681108,4.27097566123861,-24.329162643228845,43.58116880551008,-82.41744479111878,133.50543876407593,211.0916991404821,90.33635756362708,-169.3505218220526,88.01763381784275
,124.9636607,8.27769017,5.066926985972257,-38.769783394255576,108.8675367102228,-72.80634032250227,144.9262137667944,219.83717670924338,109.34827138089076,-169.45108374851637,88.01763381784275
,125.70660415,8.68373955,4.300800181242864,1.0237143345780633,44.078926973619936,-52.902077041221666,154.02550042187238,229.16946987734732,122.47425706453335,-184.97168037428895,88.01763381784275
,125.90091251,8.65439755,4.394543960105926,-3.243322871136686,21.94880639102326,-57.17828272344751,145.04697577377038,223.51620291071106,121.33189059849182,-182.23655080598277,88.01763381784275
,123.0925252,8.40931802,2.263254088145039,-22.604982624760055,43.0156656289921,-112.0396114148931,116.07470474272688,194.31555115242955,47.88535857292462,-132.19082405252934,88.01763381784275
,125.67420771,8.0167092,4.139109533137514,-19.770719318653207,58.056136040098984,-64.37687935674421,131.88872978516338,208.2309987587768,97.81933051675789,-164.7211439802321,88.01763381784275
,123.94820392,7.41482345,3.474264619454969,-1.0816714276850916,-24.135185290800965,-57.122918689163555,134.13068781512231,230.08171447768578,84.77514231889744,-139.32061341379054,88.01763381784275
,125.13699491,8.22905115,2.574812001705448,-45.575462951031824,155.73268738423945,-160.734301051808,156.79720461954608,229.40509659071276,95.65438869527993,-177.51470277089803,88.01763381784275
,122.65066246,8.10391014,2.8151791407051228,-8.645214521288958,25.484623707316434,-17.540286397224744,106.79528561674867,188.8217331219882,76.5168343010591,-114.20924858378373,88.01763381784275
,124.23060447,7.43764038,4.959276029993626,-17.78200681977718,-4.6859447843311735,-15.453196347943592,125.91974708518711,222.30998081998987,90.66604650031795,-141.49932187021668,88.01763381784275
,125.52291867,7.83654391,3.1519259710189367,1.6404650788725204,50.0199425291232,-33.12770485689468,126.75283247654984,203.60840645213295,109.87586963639153,-156.4367190466734,88.01763381784275
,126.07393284,7.40708599,3.6523915329746375,1.345174653028546,7.892077706378705,22.63935298225786,91.4105920218197,167.82868018792283,71.45869588439125,-134.31568442843178,88.01763381784275
,125.796,8.093,4.34684658029747,-24.523947219046264,38.24979758812402,-64.16942855311328,129.99944505616546,207.55212546403055,96.53657151805379,-165.96090670663338,88.01763381784275
,125.561,7.851,3.1519259710189367,1.6404650788725204,50.0199425291232,-33.12770485689468,126.75283247654984,203.60840645213295,109.87586963639153,-156.4367190466734,88.01763381784275
,125.788,7.812,4.149559571810363,-2.146867644764475,10.791657436735187,17.51322922060641,114.53579774459614,192.6276277845203,125.87012643867735,-149.56931420587432,88.01763381784275
,125.608,7.632,3.7617132715455392,-13.76980243754736,15.094675252125606,4.178780481269858,114.95155587072067,193.4607865910638,106.27591116167294,-145.32007156694638,88.01763381784275
,126.46,7.648,3.875457763760111,-1.488811555109925,-3.4838710255251777,7.630746556139322,92.3482051086078,168.19071547396499,77.77587216200733,-140.95708938522242,88.01763381784275
,126.085,7.616,3.3045487872419654,3.8674366229282153,11.126396019970889,18.447247153058584,95.3276313912699,172.45529766955528,83.50930923585072,-139.0850287963104,88.01763381784275
,124.584,7.218,2.965433840836012,2.6045889373439852,31.581515159225642,-0.5536893922942117,136.64066372435968,233.08558245490204,98.31155154016888,-153.3083721714561,88.01763381784275
,124.412,6.858,3.9410972402086974,8.231467293623275,70.01092175300185,57.63823926353032,169.3357927094469,267.8705980760392,207.51555104773576,-167.13400219484504,88.01763381784275
